LeftTorque:10000.9 ,RightTorque:-9999.44
LeftTorque:8501.76 ,RightTorque:-9997.95
LeftTorque:-10000.2 ,RightTorque:-1473.89
LeftTorque:10001.6 ,RightTorque:-842.922
LeftTorque:690.077 ,RightTorque:-138.473
LeftTorque:104.306 ,RightTorque:-11.7623
LeftTorque:57.0561 ,RightTorque:-2.16695
LeftTorque:45.0599 ,RightTorque:-7.55804
LeftTorque:37.5 ,RightTorque:-13.6447
LeftTorque:32.0667 ,RightTorque:-18.7621
LeftTorque:28.4616 ,RightTorque:-22.7657
LeftTorque:26.4209 ,RightTorque:-25.7347
LeftTorque:25.6057 ,RightTorque:-27.8236
LeftTorque:25.6541 ,RightTorque:-29.2209
LeftTorque:26.2333 ,RightTorque:-30.1173
LeftTorque:27.0729 ,RightTorque:-30.6815
LeftTorque:27.9779 ,RightTorque:-31.0465
LeftTorque:28.8258 ,RightTorque:-31.3062
LeftTorque:29.5551 ,RightTorque:-31.5189
LeftTorque:30.1485 ,RightTorque:-31.7145
LeftTorque:30.6164 ,RightTorque:-31.904
LeftTorque:30.9835 ,RightTorque:-32.087
LeftTorque:31.2782 ,RightTorque:-32.2586
LeftTorque:31.527 ,RightTorque:-32.4129
LeftTorque:31.7506 ,RightTorque:-32.5462
LeftTorque:31.9634 ,RightTorque:-32.657
LeftTorque:32.1739 ,RightTorque:-32.7467
LeftTorque:32.3858 ,RightTorque:-32.8184
LeftTorque:32.5995 ,RightTorque:-32.8767
LeftTorque:32.8137 ,RightTorque:-32.9265
LeftTorque:33.0257 ,RightTorque:-32.9725
LeftTorque:33.2329 ,RightTorque:-33.0192
LeftTorque:33.4328 ,RightTorque:-33.0699
LeftTorque:33.6237 ,RightTorque:-33.1273
LeftTorque:33.8042 ,RightTorque:-33.1931
LeftTorque:33.9739 ,RightTorque:-33.2683
LeftTorque:34.1328 ,RightTorque:-33.3532
LeftTorque:34.2812 ,RightTorque:-33.4475
LeftTorque:34.4201 ,RightTorque:-33.5505
LeftTorque:34.5505 ,RightTorque:-33.6612
LeftTorque:34.6735 ,RightTorque:-33.7784
LeftTorque:34.7905 ,RightTorque:-33.901
LeftTorque:34.9026 ,RightTorque:-34.0278
LeftTorque:35.011 ,RightTorque:-34.1575
LeftTorque:35.1167 ,RightTorque:-34.289
LeftTorque:35.2207 ,RightTorque:-34.4215
LeftTorque:35.3238 ,RightTorque:-34.5542
LeftTorque:35.4265 ,RightTorque:-34.6864
LeftTorque:35.5293 ,RightTorque:-34.8175
LeftTorque:35.6326 ,RightTorque:-34.9472
LeftTorque:35.7366 ,RightTorque:-35.0753
LeftTorque:-1398.08 ,RightTorque:1.77822
LeftTorque:1333.72 ,RightTorque:-97.7445
LeftTorque:-7872.12 ,RightTorque:166.949
LeftTorque:7302.49 ,RightTorque:-366.988
LeftTorque:-10001.6 ,RightTorque:249.335
LeftTorque:9749.36 ,RightTorque:-426.266
LeftTorque:-10001.4 ,RightTorque:279.617
LeftTorque:9997.09 ,RightTorque:-398.303
LeftTorque:-10001.3 ,RightTorque:290.352
LeftTorque:10002.9 ,RightTorque:-378.856
LeftTorque:-10001.3 ,RightTorque:290.864
LeftTorque:10002.9 ,RightTorque:-365.234
LeftTorque:-10001.3 ,RightTorque:288.517
LeftTorque:10002.8 ,RightTorque:-354.342
LeftTorque:-10001.3 ,RightTorque:284.59
LeftTorque:10002.8 ,RightTorque:-345.63
LeftTorque:-10001.3 ,RightTorque:279.45
LeftTorque:10002.8 ,RightTorque:-338.729
LeftTorque:-10001.2 ,RightTorque:273.497
LeftTorque:10002.7 ,RightTorque:-333.204
LeftTorque:-10001.2 ,RightTorque:267.17
LeftTorque:10002.7 ,RightTorque:-328.622
LeftTorque:-10001.2 ,RightTorque:260.864
LeftTorque:10002.6 ,RightTorque:-324.622
LeftTorque:-10001.2 ,RightTorque:254.88
LeftTorque:10002.6 ,RightTorque:-320.948
LeftTorque:-10001.1 ,RightTorque:249.408
LeftTorque:10002.5 ,RightTorque:-317.452
LeftTorque:-10001.1 ,RightTorque:244.54
LeftTorque:10002.5 ,RightTorque:-314.069
LeftTorque:-10001.1 ,RightTorque:240.293
LeftTorque:10002.4 ,RightTorque:-310.801
LeftTorque:-10001.1 ,RightTorque:236.633
LeftTorque:10002.4 ,RightTorque:-307.682
LeftTorque:-10001.1 ,RightTorque:233.501
LeftTorque:10002.3 ,RightTorque:-304.764
LeftTorque:-10001 ,RightTorque:230.831
LeftTorque:10002.3 ,RightTorque:-302.097
LeftTorque:-10001 ,RightTorque:228.562
LeftTorque:10002.2 ,RightTorque:-299.722
LeftTorque:-10001 ,RightTorque:226.645
LeftTorque:10002.2 ,RightTorque:-297.665
LeftTorque:-10001 ,RightTorque:225.043
LeftTorque:9802.5 ,RightTorque:-292.564
LeftTorque:-10000.9 ,RightTorque:220.778
LeftTorque:7250.86 ,RightTorque:-249.428
LeftTorque:-10000.7 ,RightTorque:182
LeftTorque:10001.7 ,RightTorque:-318.251
LeftTorque:-10000.6 ,RightTorque:207.406
LeftTorque:10001.7 ,RightTorque:-302.507
LeftTorque:-10000.6 ,RightTorque:214.47
LeftTorque:10001.6 ,RightTorque:-296.796
LeftTorque:-10000.6 ,RightTorque:218.304
LeftTorque:10001.6 ,RightTorque:-292.938
LeftTorque:-10000.5 ,RightTorque:221.194
LeftTorque:10001.5 ,RightTorque:-290.398
LeftTorque:-10000.5 ,RightTorque:223.258
LeftTorque:10001.5 ,RightTorque:-289.086
LeftTorque:-10000.5 ,RightTorque:224.608
LeftTorque:9155.43 ,RightTorque:-273.072
LeftTorque:-10000.4 ,RightTorque:215.416
LeftTorque:10001.3 ,RightTorque:-295.869
LeftTorque:-10000.4 ,RightTorque:221.891
LeftTorque:10001.3 ,RightTorque:-293.271
LeftTorque:-10000.4 ,RightTorque:224.318
LeftTorque:7895.04 ,RightTorque:-251.868
LeftTorque:-10000.2 ,RightTorque:203.41
LeftTorque:10001 ,RightTorque:-309.141
LeftTorque:-10000.2 ,RightTorque:217.577
LeftTorque:10001 ,RightTorque:-301.642
LeftTorque:-10000.2 ,RightTorque:223.703
LeftTorque:10001 ,RightTorque:-299.236
LeftTorque:-10000.2 ,RightTorque:228.074
LeftTorque:10000.9 ,RightTorque:-298.024
LeftTorque:-10000.2 ,RightTorque:231.714
LeftTorque:10000.9 ,RightTorque:-297.773
LeftTorque:-10000.2 ,RightTorque:234.688
LeftTorque:10000.9 ,RightTorque:-298.399
LeftTorque:-10000.2 ,RightTorque:237.102
LeftTorque:10000.8 ,RightTorque:-299.749
LeftTorque:-10000.2 ,RightTorque:239.121
LeftTorque:9057.82 ,RightTorque:-280.064
LeftTorque:-10000.1 ,RightTorque:233.443
LeftTorque:10000.7 ,RightTorque:-309.842
LeftTorque:-10000.1 ,RightTorque:238.317
LeftTorque:10000.7 ,RightTorque:-309.316
LeftTorque:-10000.1 ,RightTorque:241.87
LeftTorque:10000.7 ,RightTorque:-310.232
LeftTorque:-10000.1 ,RightTorque:244.992
LeftTorque:10000.6 ,RightTorque:-311.528
LeftTorque:-10000.1 ,RightTorque:247.954
LeftTorque:8111.43 ,RightTorque:-265.493
LeftTorque:-9999.99 ,RightTorque:239.04
LeftTorque:10000.5 ,RightTorque:-326.05
LeftTorque:-10000 ,RightTorque:244.863
LeftTorque:10000.5 ,RightTorque:-323.269
LeftTorque:-10000 ,RightTorque:250.626
LeftTorque:10000.4 ,RightTorque:-322.491
LeftTorque:-10000 ,RightTorque:255.452
LeftTorque:10000.4 ,RightTorque:-322.503
LeftTorque:-10000 ,RightTorque:259.636
LeftTorque:10000.4 ,RightTorque:-323.267
LeftTorque:-10000 ,RightTorque:263.186
LeftTorque:10000.4 ,RightTorque:-324.724
LeftTorque:-10000 ,RightTorque:266.193
LeftTorque:10000.3 ,RightTorque:-326.741
LeftTorque:-10000 ,RightTorque:268.797
LeftTorque:10000.3 ,RightTorque:-329.158
LeftTorque:-10000 ,RightTorque:271.153
LeftTorque:10000.3 ,RightTorque:-331.819
LeftTorque:-10000 ,RightTorque:273.397
LeftTorque:10000.3 ,RightTorque:-334.595
LeftTorque:-10000 ,RightTorque:275.631
LeftTorque:10000.3 ,RightTorque:-337.395
LeftTorque:-10000 ,RightTorque:277.92
LeftTorque:10000.2 ,RightTorque:-340.165
LeftTorque:-10000 ,RightTorque:280.297
LeftTorque:9698.16 ,RightTorque:-333.339
LeftTorque:-10000 ,RightTorque:282.184
LeftTorque:10000.2 ,RightTorque:-346.897
LeftTorque:-10000 ,RightTorque:284.029
LeftTorque:10000.2 ,RightTorque:-349.061
LeftTorque:-10000 ,RightTorque:287.048
LeftTorque:9268.23 ,RightTorque:-326.911
LeftTorque:-10000 ,RightTorque:289.359
LeftTorque:10000.1 ,RightTorque:-356.38
LeftTorque:-10000 ,RightTorque:289.9
LeftTorque:10000.1 ,RightTorque:-357.741
LeftTorque:-10000 ,RightTorque:293.651
LeftTorque:10000.1 ,RightTorque:-358.892
LeftTorque:-10000 ,RightTorque:297.216
LeftTorque:10000.1 ,RightTorque:-360.306
LeftTorque:-10000 ,RightTorque:300.471
LeftTorque:10000 ,RightTorque:-362.021
LeftTorque:-10000 ,RightTorque:303.407
LeftTorque:10000 ,RightTorque:-364.009
LeftTorque:-10000 ,RightTorque:306.067
LeftTorque:10000 ,RightTorque:-366.206
LeftTorque:-10000 ,RightTorque:308.515
LeftTorque:9830.63 ,RightTorque:-362.272
LeftTorque:-10000 ,RightTorque:311.09
LeftTorque:9999.97 ,RightTorque:-371.52
LeftTorque:-10000 ,RightTorque:312.353
LeftTorque:9999.95 ,RightTorque:-373.835
LeftTorque:-10000.1 ,RightTorque:314.708
LeftTorque:9356.13 ,RightTorque:-351.222
LeftTorque:-10000.1 ,RightTorque:318.689
LeftTorque:9999.92 ,RightTorque:-380.101
LeftTorque:-10000.1 ,RightTorque:316.772
LeftTorque:9999.9 ,RightTorque:-382.03
LeftTorque:-10000.1 ,RightTorque:319.629
LeftTorque:9999.89 ,RightTorque:-383.102
LeftTorque:-10000.1 ,RightTorque:322.493
LeftTorque:9999.88 ,RightTorque:-384.27
LeftTorque:-10000.1 ,RightTorque:325.116
LeftTorque:9999.86 ,RightTorque:-385.613
LeftTorque:-10000.1 ,RightTorque:327.467
LeftTorque:9999.85 ,RightTorque:-387.125
LeftTorque:-10000.1 ,RightTorque:329.566
LeftTorque:9999.83 ,RightTorque:-388.763
LeftTorque:-10000.1 ,RightTorque:331.459
LeftTorque:9999.82 ,RightTorque:-390.471
LeftTorque:-10000.1 ,RightTorque:333.195
LeftTorque:9999.8 ,RightTorque:-392.197
LeftTorque:-10000.1 ,RightTorque:334.818
LeftTorque:9999.79 ,RightTorque:-393.894
LeftTorque:-10000.1 ,RightTorque:336.36
LeftTorque:9999.78 ,RightTorque:-395.53
LeftTorque:-10000.1 ,RightTorque:337.844
LeftTorque:9999.76 ,RightTorque:-397.085
LeftTorque:-10000.2 ,RightTorque:339.278
LeftTorque:9999.75 ,RightTorque:-398.548
LeftTorque:-10000.2 ,RightTorque:340.665
LeftTorque:9630.09 ,RightTorque:-383.619
LeftTorque:-10000.2 ,RightTorque:344.511
LeftTorque:9999.73 ,RightTorque:-401.914
LeftTorque:-10000.2 ,RightTorque:341.922
LeftTorque:9999.72 ,RightTorque:-403.475
LeftTorque:-10000.2 ,RightTorque:343.368
