LeftTorque:969.082 ,RightTorque:1000.38
LeftTorque:-1000.09 ,RightTorque:-1000.76
LeftTorque:1000.12 ,RightTorque:1000.37
LeftTorque:-1000.03 ,RightTorque:-160.693
LeftTorque:933.161 ,RightTorque:873.888
LeftTorque:-1000.09 ,RightTorque:-1000.73
LeftTorque:1000.11 ,RightTorque:1000.35
LeftTorque:-1000.03 ,RightTorque:-218.276
LeftTorque:999.468 ,RightTorque:970.248
LeftTorque:-1000.08 ,RightTorque:-1000.69
LeftTorque:968.81 ,RightTorque:1000.33
LeftTorque:-1000.04 ,RightTorque:-415.535
LeftTorque:974.746 ,RightTorque:1000.34
LeftTorque:-1000.08 ,RightTorque:-1000.66
LeftTorque:1000.1 ,RightTorque:1000.33
LeftTorque:-1000.03 ,RightTorque:-186.761
LeftTorque:908.841 ,RightTorque:899.103
LeftTorque:-1000.07 ,RightTorque:-1000.63
LeftTorque:1000.09 ,RightTorque:1000.32
LeftTorque:-1000.03 ,RightTorque:-337.779
LeftTorque:1000.1 ,RightTorque:1000.32
LeftTorque:-1000.07 ,RightTorque:-1000.6
LeftTorque:990.101 ,RightTorque:1000.3
LeftTorque:-1000.03 ,RightTorque:-388.336
LeftTorque:926.611 ,RightTorque:1000.27
LeftTorque:-1000.06 ,RightTorque:-1000.58
LeftTorque:1000.08 ,RightTorque:1000.3
LeftTorque:-1000.03 ,RightTorque:-327.609
LeftTorque:982.378 ,RightTorque:1000.29
LeftTorque:-1000.06 ,RightTorque:-1000.55
LeftTorque:984.396 ,RightTorque:1000.28
LeftTorque:-1000.03 ,RightTorque:-468.058
LeftTorque:934.976 ,RightTorque:1000.25
LeftTorque:-1000.06 ,RightTorque:-1000.53
LeftTorque:1000.07 ,RightTorque:1000.28
LeftTorque:-1000.02 ,RightTorque:-251.261
LeftTorque:948.624 ,RightTorque:978.706
LeftTorque:-1000.05 ,RightTorque:-1000.5
LeftTorque:1000.07 ,RightTorque:1000.27
LeftTorque:-1000.03 ,RightTorque:-604.353
LeftTorque:951.565 ,RightTorque:1000.24
LeftTorque:-1000.04 ,RightTorque:-883.035
LeftTorque:1000.06 ,RightTorque:1000.26
