LeftTorque:10000.9 ,RightTorque:-9999.43
LeftTorque:7265.43 ,RightTorque:9999.73
LeftTorque:-9999.91 ,RightTorque:-9999.82
LeftTorque:10001.7 ,RightTorque:-9998.8
LeftTorque:1925.86 ,RightTorque:-2077.54
LeftTorque:137.492 ,RightTorque:-142.307
LeftTorque:14.0615 ,RightTorque:-10.9313
LeftTorque:-3.43263 ,RightTorque:-3.79589
LeftTorque:-10.6327 ,RightTorque:-7.07416
LeftTorque:-14.8388 ,RightTorque:-10.4711
LeftTorque:-16.6707 ,RightTorque:-12.7603
LeftTorque:-16.4726 ,RightTorque:-13.834
LeftTorque:-14.7333 ,RightTorque:-13.8595
LeftTorque:-11.9987 ,RightTorque:-13.1098
LeftTorque:-8.77632 ,RightTorque:-11.8811
LeftTorque:-5.47847 ,RightTorque:-10.441
LeftTorque:-2.39911 ,RightTorque:-9.00047
LeftTorque:0.283513 ,RightTorque:-7.70488
LeftTorque:2.48884 ,RightTorque:-6.63791
LeftTorque:4.20906 ,RightTorque:-5.83276
LeftTorque:5.48374 ,RightTorque:-5.28621
LeftTorque:6.37801 ,RightTorque:-4.97213
LeftTorque:6.96599 ,RightTorque:-4.85266
LeftTorque:7.31986 ,RightTorque:-4.88641
LeftTorque:7.50355 ,RightTorque:-5.03378
LeftTorque:7.57017 ,RightTorque:-5.25982
LeftTorque:7.56166 ,RightTorque:-5.53544
LeftTorque:7.50987 ,RightTorque:-5.83752
LeftTorque:7.43814 ,RightTorque:-6.14834
LeftTorque:7.36302 ,RightTorque:-6.45485
LeftTorque:7.29582 ,RightTorque:-6.74788
LeftTorque:7.24387 ,RightTorque:-7.02132
LeftTorque:7.2115 ,RightTorque:-7.27155
LeftTorque:7.20085 ,RightTorque:-7.49687
LeftTorque:7.21244 ,RightTorque:-7.69708
LeftTorque:7.24557 ,RightTorque:-7.87307
LeftTorque:7.29873 ,RightTorque:-8.02657
LeftTorque:7.36982 ,RightTorque:-8.15984
LeftTorque:7.45641 ,RightTorque:-8.2755
LeftTorque:7.5559 ,RightTorque:-8.37631
LeftTorque:7.66569 ,RightTorque:-8.46504
LeftTorque:7.78326 ,RightTorque:-8.54433
LeftTorque:7.90629 ,RightTorque:-8.61665
LeftTorque:8.03271 ,RightTorque:-8.6842
LeftTorque:8.16072 ,RightTorque:-8.74886
LeftTorque:8.28881 ,RightTorque:-8.81224
LeftTorque:8.41577 ,RightTorque:-8.87561
LeftTorque:8.54069 ,RightTorque:-8.93993
LeftTorque:8.66291 ,RightTorque:-9.00592
LeftTorque:8.782 ,RightTorque:-9.07401
LeftTorque:8.89772 ,RightTorque:-9.14446
LeftTorque:9.01002 ,RightTorque:-9.21734
LeftTorque:9.11897 ,RightTorque:-9.29256
LeftTorque:9.22473 ,RightTorque:-9.36997
LeftTorque:9.32754 ,RightTorque:-9.44929
LeftTorque:9.42767 ,RightTorque:-9.53025
LeftTorque:9.52543 ,RightTorque:-9.61251
LeftTorque:9.62112 ,RightTorque:-9.69576
LeftTorque:9.71502 ,RightTorque:-9.77967
LeftTorque:9.8074 ,RightTorque:-9.86395
LeftTorque:9.89851 ,RightTorque:-9.94835
LeftTorque:9.98854 ,RightTorque:-10.0326
LeftTorque:10.0777 ,RightTorque:-10.1166
LeftTorque:10.166 ,RightTorque:-10.2001
LeftTorque:10.2537 ,RightTorque:-10.2829
LeftTorque:10.3408 ,RightTorque:-10.3651
LeftTorque:10.4273 ,RightTorque:-10.4466
