LeftTorque:10000.9 ,RightTorque:-9999.43
LeftTorque:8467.22 ,RightTorque:-9997.95
LeftTorque:-10000.2 ,RightTorque:-1419.05
LeftTorque:10001.6 ,RightTorque:-817.85
LeftTorque:630.633 ,RightTorque:-110.7
LeftTorque:77.3636 ,RightTorque:13.7814
LeftTorque:31.7078 ,RightTorque:22.9825
LeftTorque:19.8035 ,RightTorque:17.5683
LeftTorque:12.2373 ,RightTorque:11.5076
LeftTorque:6.79052 ,RightTorque:6.42176
LeftTorque:3.17159 ,RightTorque:2.45028
LeftTorque:1.11641 ,RightTorque:-0.486683
LeftTorque:0.285591 ,RightTorque:-2.54395
LeftTorque:0.316839 ,RightTorque:-3.91034
LeftTorque:0.877331 ,RightTorque:-4.77666
LeftTorque:1.69671 ,RightTorque:-5.31165
LeftTorque:2.58009 ,RightTorque:-5.64835
LeftTorque:3.40547 ,RightTorque:-5.88051
LeftTorque:4.11149 ,RightTorque:-6.06617
LeftTorque:4.68099 ,RightTorque:-6.23529
LeftTorque:5.12465 ,RightTorque:-6.39866
LeftTorque:5.46716 ,RightTorque:-6.55591
LeftTorque:5.73721 ,RightTorque:-6.70191
LeftTorque:5.96114 ,RightTorque:-6.83093
LeftTorque:6.15978 ,RightTorque:-6.939
LeftTorque:6.34753 ,RightTorque:-7.02478
LeftTorque:6.53288 ,RightTorque:-7.08953
LeftTorque:6.7196 ,RightTorque:-7.13645
LeftTorque:6.90816 ,RightTorque:-7.16998
LeftTorque:7.09705 ,RightTorque:-7.19503
LeftTorque:7.28378 ,RightTorque:-7.21641
LeftTorque:7.46568 ,RightTorque:-7.23836
LeftTorque:7.64037 ,RightTorque:-7.26438
LeftTorque:7.80598 ,RightTorque:-7.29708
LeftTorque:7.96133 ,RightTorque:-7.33819
LeftTorque:8.10585 ,RightTorque:-7.38866
LeftTorque:8.23954 ,RightTorque:-7.44876
LeftTorque:8.36288 ,RightTorque:-7.51821
LeftTorque:8.47667 ,RightTorque:-7.59631
LeftTorque:8.58199 ,RightTorque:-7.68211
LeftTorque:8.68 ,RightTorque:-7.77444
LeftTorque:8.77196 ,RightTorque:-7.8721
LeftTorque:8.85909 ,RightTorque:-7.97386
LeftTorque:8.94253 ,RightTorque:-8.07856
LeftTorque:9.02333 ,RightTorque:-8.18512
LeftTorque:9.1024 ,RightTorque:-8.29263
LeftTorque:9.1805 ,RightTorque:-8.40026
LeftTorque:9.25827 ,RightTorque:-8.50739
LeftTorque:9.33618 ,RightTorque:-8.6135
LeftTorque:9.41456 ,RightTorque:-8.71821
LeftTorque:9.49366 ,RightTorque:-8.82128
