LeftTorque:500.002 ,RightTorque:-499.999
LeftTorque:500.008 ,RightTorque:-499.994
LeftTorque:500.016 ,RightTorque:-499.988
LeftTorque:500.025 ,RightTorque:-499.981
LeftTorque:500.034 ,RightTorque:-499.974
LeftTorque:500.044 ,RightTorque:-499.967
LeftTorque:500.052 ,RightTorque:-499.96
LeftTorque:500.06 ,RightTorque:-499.954
LeftTorque:500.068 ,RightTorque:-499.949
LeftTorque:500.074 ,RightTorque:-499.944
LeftTorque:500.081 ,RightTorque:-499.939
LeftTorque:500.087 ,RightTorque:-499.935
LeftTorque:500.093 ,RightTorque:-499.931
LeftTorque:500.098 ,RightTorque:-499.927
LeftTorque:500.104 ,RightTorque:-499.924
LeftTorque:500.11 ,RightTorque:-499.92
LeftTorque:500.116 ,RightTorque:-499.916
LeftTorque:500.123 ,RightTorque:-499.913
LeftTorque:500.129 ,RightTorque:-499.909
LeftTorque:500.136 ,RightTorque:-499.905
LeftTorque:500.142 ,RightTorque:-499.901
LeftTorque:500.149 ,RightTorque:-499.898
LeftTorque:500.156 ,RightTorque:-499.895
LeftTorque:500.162 ,RightTorque:-499.892
LeftTorque:500.169 ,RightTorque:-499.889
LeftTorque:500.175 ,RightTorque:-499.886
LeftTorque:500.182 ,RightTorque:-499.884
LeftTorque:500.187 ,RightTorque:-499.882
LeftTorque:500.193 ,RightTorque:-499.881
LeftTorque:500.199 ,RightTorque:-499.88
LeftTorque:500.204 ,RightTorque:-499.879
LeftTorque:500.209 ,RightTorque:-499.879
LeftTorque:500.214 ,RightTorque:-499.879
LeftTorque:500.218 ,RightTorque:-499.879
LeftTorque:500.222 ,RightTorque:-499.88
LeftTorque:500.227 ,RightTorque:-499.881
LeftTorque:500.23 ,RightTorque:-499.883
LeftTorque:500.234 ,RightTorque:-499.885
LeftTorque:500.238 ,RightTorque:-499.887
LeftTorque:500.241 ,RightTorque:-499.89
LeftTorque:500.245 ,RightTorque:-499.893
LeftTorque:500.248 ,RightTorque:-499.896
LeftTorque:500.251 ,RightTorque:-499.899
LeftTorque:282.079 ,RightTorque:-499.991
LeftTorque:135.616 ,RightTorque:-500.115
LeftTorque:117.979 ,RightTorque:-500.2
LeftTorque:110.405 ,RightTorque:-500.253
LeftTorque:105.811 ,RightTorque:-500.285
LeftTorque:102.902 ,RightTorque:-500.305
LeftTorque:99.3142 ,RightTorque:-456.35
LeftTorque:86.8371 ,RightTorque:-144.296
LeftTorque:90.9212 ,RightTorque:-121.201
LeftTorque:95.9336 ,RightTorque:-116.045
LeftTorque:99.6174 ,RightTorque:-113.273
LeftTorque:102.212 ,RightTorque:-111.378
LeftTorque:104.087 ,RightTorque:-110
LeftTorque:105.485 ,RightTorque:-108.978
LeftTorque:106.549 ,RightTorque:-108.221
LeftTorque:107.363 ,RightTorque:-107.678
LeftTorque:107.977 ,RightTorque:-107.313
LeftTorque:108.427 ,RightTorque:-107.103
LeftTorque:108.738 ,RightTorque:-107.024
LeftTorque:108.934 ,RightTorque:-107.055
LeftTorque:109.038 ,RightTorque:-107.176
