LeftTorque:1000.01 ,RightTorque:-999.994
LeftTorque:1000.03 ,RightTorque:-999.977
LeftTorque:1000.07 ,RightTorque:-999.953
LeftTorque:1000.1 ,RightTorque:-999.923
LeftTorque:1000.14 ,RightTorque:-999.892
LeftTorque:1000.19 ,RightTorque:-999.86
LeftTorque:1000.23 ,RightTorque:-999.83
LeftTorque:1000.26 ,RightTorque:-999.801
LeftTorque:1000.3 ,RightTorque:-999.775
LeftTorque:1000.34 ,RightTorque:-999.75
LeftTorque:1000.37 ,RightTorque:-999.727
LeftTorque:1000.4 ,RightTorque:-999.705
LeftTorque:1000.44 ,RightTorque:-999.685
LeftTorque:1000.47 ,RightTorque:-999.665
LeftTorque:1000.51 ,RightTorque:-999.647
LeftTorque:1000.54 ,RightTorque:-999.629
LeftTorque:1000.58 ,RightTorque:-999.612
LeftTorque:1000.61 ,RightTorque:-999.596
LeftTorque:357.848 ,RightTorque:-999.768
LeftTorque:-73.3222 ,RightTorque:-1000.08
LeftTorque:-116.418 ,RightTorque:-1000.37
LeftTorque:-136.012 ,RightTorque:-1000.63
LeftTorque:-150.472 ,RightTorque:-1000.84
LeftTorque:-161.415 ,RightTorque:-1001.01
LeftTorque:-169.462 ,RightTorque:-1001.14
LeftTorque:-175.171 ,RightTorque:-1001.25
LeftTorque:-179.065 ,RightTorque:-1001.34
LeftTorque:-181.603 ,RightTorque:-1001.41
LeftTorque:-183.164 ,RightTorque:-1001.47
LeftTorque:-184.039 ,RightTorque:-1001.53
LeftTorque:-184.446 ,RightTorque:-1001.59
LeftTorque:-184.537 ,RightTorque:-1001.64
LeftTorque:-184.417 ,RightTorque:-1001.7
LeftTorque:-184.155 ,RightTorque:-1001.75
LeftTorque:-183.792 ,RightTorque:-1001.8
LeftTorque:-183.357 ,RightTorque:-1001.86
LeftTorque:-182.865 ,RightTorque:-1001.91
LeftTorque:-182.322 ,RightTorque:-1001.95
LeftTorque:-181.731 ,RightTorque:-1002
LeftTorque:-181.089 ,RightTorque:-1002.05
LeftTorque:-180.39 ,RightTorque:-1002.09
LeftTorque:-179.627 ,RightTorque:-1002.13
LeftTorque:-178.788 ,RightTorque:-1002.17
LeftTorque:-177.863 ,RightTorque:-1002.21
LeftTorque:-176.84 ,RightTorque:-1002.25
LeftTorque:-198.253 ,RightTorque:-219.467
LeftTorque:-185.695 ,RightTorque:-79.2322
LeftTorque:-170.118 ,RightTorque:-57.559
LeftTorque:-158.875 ,RightTorque:-48.2456
LeftTorque:-150.927 ,RightTorque:-42.5201
LeftTorque:-144.956 ,RightTorque:-38.5936
LeftTorque:-140.205 ,RightTorque:-35.7667
LeftTorque:-136.281 ,RightTorque:-33.6987
LeftTorque:-132.971 ,RightTorque:-32.203
LeftTorque:-130.146 ,RightTorque:-31.1608
LeftTorque:-127.711 ,RightTorque:-30.4814
LeftTorque:-125.588 ,RightTorque:-30.0872
LeftTorque:-123.707 ,RightTorque:-29.9072
LeftTorque:-122.006 ,RightTorque:-29.8773
LeftTorque:-120.429 ,RightTorque:-29.9397
LeftTorque:-118.927 ,RightTorque:-30.0449
LeftTorque:-117.461 ,RightTorque:-30.1518
LeftTorque:-115.998 ,RightTorque:-30.2278
LeftTorque:-114.515 ,RightTorque:-30.249
LeftTorque:-112.996 ,RightTorque:-30.199
LeftTorque:-111.431 ,RightTorque:-30.0685
LeftTorque:-109.815 ,RightTorque:-29.8541
LeftTorque:-108.148 ,RightTorque:-29.5572
LeftTorque:-106.435 ,RightTorque:-29.1826
LeftTorque:-104.682 ,RightTorque:-28.7383
