LeftTorque:10000.9 ,RightTorque:-9999.44
LeftTorque:8501.76 ,RightTorque:-9997.95
LeftTorque:-10000.2 ,RightTorque:-1473.89
LeftTorque:10001.6 ,RightTorque:-842.922
LeftTorque:690.077 ,RightTorque:-138.473
LeftTorque:104.306 ,RightTorque:-11.7623
LeftTorque:57.0561 ,RightTorque:-2.16695
LeftTorque:45.0599 ,RightTorque:-7.55804
LeftTorque:37.5 ,RightTorque:-13.6447
LeftTorque:32.0667 ,RightTorque:-18.7621
LeftTorque:28.4616 ,RightTorque:-22.7657
LeftTorque:26.4209 ,RightTorque:-25.7347
LeftTorque:25.6057 ,RightTorque:-27.8236
LeftTorque:25.6541 ,RightTorque:-29.2209
LeftTorque:26.2333 ,RightTorque:-30.1173
LeftTorque:27.0729 ,RightTorque:-30.6815
LeftTorque:27.9779 ,RightTorque:-31.0465
LeftTorque:28.8258 ,RightTorque:-31.3062
LeftTorque:29.5551 ,RightTorque:-31.5189
LeftTorque:30.1485 ,RightTorque:-31.7145
LeftTorque:30.6164 ,RightTorque:-31.904
LeftTorque:30.9835 ,RightTorque:-32.087
LeftTorque:31.2782 ,RightTorque:-32.2586
LeftTorque:31.527 ,RightTorque:-32.4129
LeftTorque:31.7506 ,RightTorque:-32.5462
LeftTorque:31.9634 ,RightTorque:-32.657
LeftTorque:32.1739 ,RightTorque:-32.7467
LeftTorque:32.3858 ,RightTorque:-32.8184
LeftTorque:32.5995 ,RightTorque:-32.8767
LeftTorque:32.8137 ,RightTorque:-32.9265
LeftTorque:33.0257 ,RightTorque:-32.9725
LeftTorque:33.2329 ,RightTorque:-33.0192
LeftTorque:33.4328 ,RightTorque:-33.0699
LeftTorque:33.6237 ,RightTorque:-33.1273
LeftTorque:33.8042 ,RightTorque:-33.1931
LeftTorque:33.9739 ,RightTorque:-33.2683
LeftTorque:34.1328 ,RightTorque:-33.3532
LeftTorque:34.2812 ,RightTorque:-33.4475
LeftTorque:34.4201 ,RightTorque:-33.5505
LeftTorque:34.5505 ,RightTorque:-33.6612
LeftTorque:34.6735 ,RightTorque:-33.7784
LeftTorque:34.7905 ,RightTorque:-33.901
LeftTorque:34.9026 ,RightTorque:-34.0278
LeftTorque:35.011 ,RightTorque:-34.1575
LeftTorque:35.1167 ,RightTorque:-34.289
LeftTorque:35.2207 ,RightTorque:-34.4215
LeftTorque:35.3238 ,RightTorque:-34.5542
LeftTorque:35.4265 ,RightTorque:-34.6864
LeftTorque:35.5293 ,RightTorque:-34.8175
LeftTorque:35.6326 ,RightTorque:-34.9472
LeftTorque:35.7366 ,RightTorque:-35.0753
LeftTorque:35.8415 ,RightTorque:-35.2016
LeftTorque:-1910.99 ,RightTorque:13.7653
LeftTorque:1797.85 ,RightTorque:-119.115
LeftTorque:-5282.57 ,RightTorque:102.858
LeftTorque:4999.24 ,RightTorque:-252.879
LeftTorque:-7899.19 ,RightTorque:183.943
LeftTorque:7652.27 ,RightTorque:-341.608
LeftTorque:-10001.5 ,RightTorque:254.28
LeftTorque:9804.28 ,RightTorque:-403.525
LeftTorque:-10001.3 ,RightTorque:274.468
LeftTorque:10002.9 ,RightTorque:-380.524
LeftTorque:-10001.3 ,RightTorque:282.052
LeftTorque:10002.9 ,RightTorque:-363.822
LeftTorque:-10001.3 ,RightTorque:281.582
LeftTorque:10002.8 ,RightTorque:-352.12
LeftTorque:-10001.3 ,RightTorque:278.769
LeftTorque:10002.8 ,RightTorque:-342.856
LeftTorque:-10001.3 ,RightTorque:274.612
LeftTorque:10002.7 ,RightTorque:-335.529
LeftTorque:-10001.2 ,RightTorque:269.498
LeftTorque:10002.7 ,RightTorque:-329.745
LeftTorque:-10001.2 ,RightTorque:263.827
LeftTorque:10002.7 ,RightTorque:-325.09
LeftTorque:-10001.2 ,RightTorque:257.998
LeftTorque:10002.6 ,RightTorque:-321.182
LeftTorque:-10001.2 ,RightTorque:252.341
LeftTorque:10002.6 ,RightTorque:-317.725
LeftTorque:-10001.1 ,RightTorque:247.092
LeftTorque:10002.5 ,RightTorque:-314.525
LeftTorque:-10001.1 ,RightTorque:242.386
LeftTorque:10002.5 ,RightTorque:-311.477
LeftTorque:-10001.1 ,RightTorque:238.274
LeftTorque:10002.4 ,RightTorque:-308.55
LeftTorque:-10001.1 ,RightTorque:234.748
LeftTorque:10002.4 ,RightTorque:-305.758
LeftTorque:-10001 ,RightTorque:231.765
LeftTorque:10002.3 ,RightTorque:-303.143
LeftTorque:-10001 ,RightTorque:229.264
LeftTorque:10002.2 ,RightTorque:-300.751
LeftTorque:-10001 ,RightTorque:227.184
LeftTorque:7538.79 ,RightTorque:-257.14
LeftTorque:-10000.8 ,RightTorque:187.783
LeftTorque:10001.8 ,RightTorque:-319.384
LeftTorque:-10000.7 ,RightTorque:211.232
LeftTorque:10001.8 ,RightTorque:-303.902
LeftTorque:-10000.7 ,RightTorque:217.016
LeftTorque:10001.8 ,RightTorque:-298.176
LeftTorque:-10000.7 ,RightTorque:219.727
LeftTorque:10001.7 ,RightTorque:-294.196
LeftTorque:-10000.6 ,RightTorque:221.666
LeftTorque:10001.7 ,RightTorque:-291.406
LeftTorque:-10000.6 ,RightTorque:222.952
LeftTorque:8116.15 ,RightTorque:-256.36
LeftTorque:-10000.5 ,RightTorque:198.923
LeftTorque:10001.4 ,RightTorque:-304.476
LeftTorque:-10000.4 ,RightTorque:214.592
LeftTorque:10001.4 ,RightTorque:-295.425
LeftTorque:-10000.4 ,RightTorque:219.336
LeftTorque:10001.3 ,RightTorque:-292.638
LeftTorque:-10000.4 ,RightTorque:222.03
LeftTorque:10001.3 ,RightTorque:-291.156
LeftTorque:-10000.4 ,RightTorque:224.112
LeftTorque:9724.04 ,RightTorque:-285.281
LeftTorque:-10000.4 ,RightTorque:222.591
LeftTorque:9612.46 ,RightTorque:-285.28
LeftTorque:-10000.3 ,RightTorque:221.411
LeftTorque:10001.1 ,RightTorque:-295.32
LeftTorque:-10000.3 ,RightTorque:225.515
LeftTorque:8600.72 ,RightTorque:-266.293
LeftTorque:-10000.2 ,RightTorque:213.392
LeftTorque:10000.9 ,RightTorque:-304.983
LeftTorque:-10000.2 ,RightTorque:222.962
LeftTorque:10000.9 ,RightTorque:-300.565
LeftTorque:-10000.2 ,RightTorque:227.679
LeftTorque:10000.9 ,RightTorque:-299.445
LeftTorque:-10000.2 ,RightTorque:231.252
LeftTorque:10000.9 ,RightTorque:-299.201
LeftTorque:-10000.2 ,RightTorque:234.323
LeftTorque:9747.16 ,RightTorque:-294.059
LeftTorque:-10000.1 ,RightTorque:234.786
LeftTorque:9934.11 ,RightTorque:-300.929
LeftTorque:-10000.1 ,RightTorque:237.493
LeftTorque:9108.14 ,RightTorque:-283.117
LeftTorque:-10000.1 ,RightTorque:233.247
LeftTorque:10000.7 ,RightTorque:-310.637
LeftTorque:-10000.1 ,RightTorque:238.484
LeftTorque:10000.6 ,RightTorque:-309.665
LeftTorque:-10000.1 ,RightTorque:242.361
LeftTorque:10000.6 ,RightTorque:-310.204
LeftTorque:-10000.1 ,RightTorque:245.668
LeftTorque:9885.26 ,RightTorque:-308.397
LeftTorque:-10000.1 ,RightTorque:247.929
LeftTorque:9550.22 ,RightTorque:-302.044
LeftTorque:-10000 ,RightTorque:248.129
LeftTorque:10000.5 ,RightTorque:-317.594
LeftTorque:-10000 ,RightTorque:251.599
LeftTorque:10000.5 ,RightTorque:-318.397
LeftTorque:-10000 ,RightTorque:254.909
LeftTorque:9360.3 ,RightTorque:-302.777
LeftTorque:-10000 ,RightTorque:254.615
LeftTorque:10000.4 ,RightTorque:-325.209
LeftTorque:-10000 ,RightTorque:257.861
LeftTorque:10000.4 ,RightTorque:-325.805
LeftTorque:-10000 ,RightTorque:261.548
LeftTorque:10000.4 ,RightTorque:-327.046
LeftTorque:-10000 ,RightTorque:264.882
LeftTorque:9873.84 ,RightTorque:-325.029
LeftTorque:-10000 ,RightTorque:267.467
LeftTorque:9872.93 ,RightTorque:-327.52
LeftTorque:-10000 ,RightTorque:269.787
LeftTorque:9900 ,RightTorque:-330.857
LeftTorque:-9999.99 ,RightTorque:272.202
LeftTorque:9802.08 ,RightTorque:-330.318
LeftTorque:-9999.99 ,RightTorque:274.391
LeftTorque:10000.2 ,RightTorque:-339.238
LeftTorque:-9999.99 ,RightTorque:276.979
LeftTorque:9676.34 ,RightTorque:-330.987
LeftTorque:-9999.99 ,RightTorque:279.297
LeftTorque:10000.2 ,RightTorque:-344.551
LeftTorque:-9999.99 ,RightTorque:281.512
LeftTorque:10000.2 ,RightTorque:-346.21
LeftTorque:-10000 ,RightTorque:284.708
LeftTorque:9851.92 ,RightTorque:-343.149
LeftTorque:-10000 ,RightTorque:287.54
LeftTorque:10000.1 ,RightTorque:-350.59
LeftTorque:-10000 ,RightTorque:289.933
LeftTorque:9693.2 ,RightTorque:-342.251
LeftTorque:-10000 ,RightTorque:292.598
LeftTorque:10000.1 ,RightTorque:-355.885
LeftTorque:-10000 ,RightTorque:294.207
LeftTorque:10000.1 ,RightTorque:-357.743
LeftTorque:-10000 ,RightTorque:297.155
LeftTorque:10000.1 ,RightTorque:-359.551
LeftTorque:-10000 ,RightTorque:299.968
LeftTorque:9716.34 ,RightTorque:-351.435
LeftTorque:-10000 ,RightTorque:302.792
LeftTorque:10000 ,RightTorque:-364.653
LeftTorque:-10000 ,RightTorque:303.938
LeftTorque:10000 ,RightTorque:-366.619
LeftTorque:-10000 ,RightTorque:306.63
LeftTorque:9999.98 ,RightTorque:-368.415
LeftTorque:-10000 ,RightTorque:309.227
LeftTorque:9906.39 ,RightTorque:-366.804
LeftTorque:-10000 ,RightTorque:311.854
LeftTorque:9999.95 ,RightTorque:-372.585
LeftTorque:-10000.1 ,RightTorque:313.617
LeftTorque:9808.36 ,RightTorque:-367.258
LeftTorque:-10000.1 ,RightTorque:316.389
LeftTorque:9999.92 ,RightTorque:-377.125
LeftTorque:-10000.1 ,RightTorque:317.36
LeftTorque:9999.91 ,RightTorque:-379.023
LeftTorque:-10000.1 ,RightTorque:319.667
LeftTorque:9999.89 ,RightTorque:-380.681
LeftTorque:-10000.1 ,RightTorque:321.91
LeftTorque:9823.28 ,RightTorque:-375.311
LeftTorque:-10000.1 ,RightTorque:324.682
LeftTorque:9999.87 ,RightTorque:-384.595
LeftTorque:-10000.1 ,RightTorque:325.335
LeftTorque:9999.85 ,RightTorque:-386.352
LeftTorque:-10000.1 ,RightTorque:327.376
LeftTorque:9999.84 ,RightTorque:-387.824
LeftTorque:-10000.1 ,RightTorque:329.356
LeftTorque:9958.52 ,RightTorque:-387.585
LeftTorque:-10000.1 ,RightTorque:331.41
LeftTorque:9998.57 ,RightTorque:-390.846
LeftTorque:-10000.1 ,RightTorque:332.782
LeftTorque:9823.93 ,RightTorque:-384.967
LeftTorque:-10000.1 ,RightTorque:335.379
LeftTorque:9999.79 ,RightTorque:-394.242
LeftTorque:-10000.2 ,RightTorque:335.306
LeftTorque:9999.78 ,RightTorque:-395.732
LeftTorque:-10000.2 ,RightTorque:336.895
LeftTorque:9999.77 ,RightTorque:-396.814
LeftTorque:-10000.2 ,RightTorque:338.448
LeftTorque:9999.75 ,RightTorque:-397.863
LeftTorque:-10000.2 ,RightTorque:339.871
LeftTorque:9999.74 ,RightTorque:-398.9
LeftTorque:-10000.2 ,RightTorque:341.159
LeftTorque:9957.83 ,RightTorque:-398.056
