LeftTorque:-3000.33 ,RightTorque:162.307
LeftTorque:-3000.37 ,RightTorque:163.657
LeftTorque:-3000.41 ,RightTorque:164.729
LeftTorque:-3000.46 ,RightTorque:165.519
LeftTorque:-3000.5 ,RightTorque:166.025
LeftTorque:-3000.55 ,RightTorque:166.244
LeftTorque:-3000.6 ,RightTorque:166.175
LeftTorque:-3000.66 ,RightTorque:165.816
LeftTorque:-3000.71 ,RightTorque:165.164
LeftTorque:-3000.77 ,RightTorque:164.218
LeftTorque:-3000.83 ,RightTorque:162.975
LeftTorque:-3000.89 ,RightTorque:161.434
LeftTorque:-3000.96 ,RightTorque:159.593
LeftTorque:-3001.03 ,RightTorque:157.448
LeftTorque:-3001.09 ,RightTorque:154.998
LeftTorque:-3001.16 ,RightTorque:152.24
LeftTorque:-3001.24 ,RightTorque:149.171
LeftTorque:-3001.31 ,RightTorque:145.789
LeftTorque:-3001.39 ,RightTorque:142.091
LeftTorque:-3001.47 ,RightTorque:138.075
LeftTorque:-3001.55 ,RightTorque:133.739
LeftTorque:-3001.63 ,RightTorque:129.08
LeftTorque:-3001.71 ,RightTorque:124.096
LeftTorque:-3001.79 ,RightTorque:118.786
LeftTorque:-3001.88 ,RightTorque:113.147
LeftTorque:-3001.97 ,RightTorque:107.178
LeftTorque:-3002.06 ,RightTorque:100.878
LeftTorque:-3002.15 ,RightTorque:94.2467
LeftTorque:-3002.24 ,RightTorque:87.2827
LeftTorque:2999.08 ,RightTorque:-226.446
LeftTorque:3000.03 ,RightTorque:-335.308
LeftTorque:3000.4 ,RightTorque:-355.048
LeftTorque:3000.51 ,RightTorque:-327.869
LeftTorque:3000.53 ,RightTorque:-282.052
LeftTorque:3000.51 ,RightTorque:-233.515
LeftTorque:3000.5 ,RightTorque:-189.789
LeftTorque:3000.48 ,RightTorque:-153.765
LeftTorque:3000.48 ,RightTorque:-126.009
LeftTorque:3000.48 ,RightTorque:-105.981
LeftTorque:3000.48 ,RightTorque:-92.6616
LeftTorque:3000.48 ,RightTorque:-84.8592
LeftTorque:3000.49 ,RightTorque:-81.3776
LeftTorque:3000.49 ,RightTorque:-81.1001
LeftTorque:3000.5 ,RightTorque:-83.0334
LeftTorque:3000.5 ,RightTorque:-86.3278
LeftTorque:3000.5 ,RightTorque:-90.2829
LeftTorque:3000.51 ,RightTorque:-94.3437
LeftTorque:3000.5 ,RightTorque:-98.0899
LeftTorque:3000.5 ,RightTorque:-101.223
LeftTorque:3000.5 ,RightTorque:-103.549
LeftTorque:3000.49 ,RightTorque:-104.964
LeftTorque:3000.48 ,RightTorque:-105.434
LeftTorque:3000.47 ,RightTorque:-104.984
LeftTorque:3000.46 ,RightTorque:-103.677
LeftTorque:3000.44 ,RightTorque:-101.606
LeftTorque:3000.42 ,RightTorque:-98.8822
LeftTorque:3000.41 ,RightTorque:-95.6233
LeftTorque:3000.38 ,RightTorque:-91.948
LeftTorque:3000.36 ,RightTorque:-87.9695
LeftTorque:3000.34 ,RightTorque:-83.7914
LeftTorque:3000.31 ,RightTorque:-79.5051
LeftTorque:3000.29 ,RightTorque:-75.188
LeftTorque:3000.26 ,RightTorque:-70.903
LeftTorque:3000.23 ,RightTorque:-66.6986
LeftTorque:3000.2 ,RightTorque:-62.6101
LeftTorque:3000.17 ,RightTorque:-58.6601
LeftTorque:3000.13 ,RightTorque:-54.8606
LeftTorque:3000.1 ,RightTorque:-51.2145
LeftTorque:3000.06 ,RightTorque:-47.7169
LeftTorque:3000.02 ,RightTorque:-44.3571
LeftTorque:2999.99 ,RightTorque:-41.1197
LeftTorque:2999.95 ,RightTorque:-37.9865
LeftTorque:2999.9 ,RightTorque:-34.9369
LeftTorque:2999.86 ,RightTorque:-31.9495
LeftTorque:2999.82 ,RightTorque:-29.0024
LeftTorque:2999.77 ,RightTorque:-26.074
LeftTorque:2999.73 ,RightTorque:-23.1433
LeftTorque:2999.68 ,RightTorque:-20.1902
LeftTorque:2999.63 ,RightTorque:-17.1956
LeftTorque:2999.59 ,RightTorque:-14.1416
LeftTorque:2999.54 ,RightTorque:-11.0109
LeftTorque:2999.49 ,RightTorque:-7.7873
LeftTorque:2999.44 ,RightTorque:-4.45521
LeftTorque:2999.39 ,RightTorque:-0.999518
LeftTorque:2999.34 ,RightTorque:2.5946
LeftTorque:2999.29 ,RightTorque:6.34186
LeftTorque:2999.24 ,RightTorque:10.257
LeftTorque:2999.2 ,RightTorque:14.3551
LeftTorque:2999.15 ,RightTorque:18.6513
LeftTorque:2999.11 ,RightTorque:23.1615
LeftTorque:2999.06 ,RightTorque:27.9018
LeftTorque:2999.02 ,RightTorque:32.8889
LeftTorque:2998.99 ,RightTorque:38.1397
LeftTorque:2998.95 ,RightTorque:43.6717
LeftTorque:2998.92 ,RightTorque:49.5024
LeftTorque:2998.9 ,RightTorque:55.6495
LeftTorque:2998.88 ,RightTorque:62.1301
LeftTorque:2998.87 ,RightTorque:68.9611
LeftTorque:2998.87 ,RightTorque:76.1582
LeftTorque:2998.87 ,RightTorque:83.7357
LeftTorque:2998.89 ,RightTorque:91.7059
LeftTorque:2998.92 ,RightTorque:100.078
LeftTorque:2998.97 ,RightTorque:108.859
LeftTorque:2999.03 ,RightTorque:118.051
LeftTorque:2999.12 ,RightTorque:127.648
LeftTorque:2999.22 ,RightTorque:137.64
LeftTorque:2999.35 ,RightTorque:148.008
LeftTorque:2999.52 ,RightTorque:158.723
LeftTorque:2999.71 ,RightTorque:169.741
LeftTorque:-2996.83 ,RightTorque:156.439
LeftTorque:-2994.18 ,RightTorque:163.675
LeftTorque:-2992.63 ,RightTorque:184.202
LeftTorque:-2991.79 ,RightTorque:186.644
LeftTorque:-2991.4 ,RightTorque:170.695
LeftTorque:-2991.26 ,RightTorque:143.974
LeftTorque:-2991.28 ,RightTorque:113.022
LeftTorque:-2991.39 ,RightTorque:81.9156
LeftTorque:-2991.54 ,RightTorque:52.7633
LeftTorque:-2991.72 ,RightTorque:26.3867
LeftTorque:-2991.91 ,RightTorque:2.84381
LeftTorque:-2992.11 ,RightTorque:-18.2161
LeftTorque:-2992.32 ,RightTorque:-37.3243
LeftTorque:-2992.53 ,RightTorque:-55.0514
LeftTorque:-2992.76 ,RightTorque:-71.9234
LeftTorque:-2992.99 ,RightTorque:-88.3772
LeftTorque:-2993.23 ,RightTorque:-104.741
LeftTorque:-2993.49 ,RightTorque:-121.229
LeftTorque:-2993.76 ,RightTorque:-137.952
LeftTorque:-2994.05 ,RightTorque:-154.927
LeftTorque:-2994.35 ,RightTorque:-172.095
LeftTorque:-2994.66 ,RightTorque:-189.337
LeftTorque:-2994.98 ,RightTorque:-206.495
LeftTorque:-2995.34 ,RightTorque:2987.82
LeftTorque:-2995.77 ,RightTorque:2988.58
LeftTorque:-2996.23 ,RightTorque:2989.39
